spUTCTime,spClockTime,price
2025-03-17 09:30:00+00:00,2025-03-17 09:30:00+00:00,14.905000000000001
2025-03-17 10:00:00+00:00,2025-03-17 10:00:00+00:00,14.95
2025-03-17 10:30:00+00:00,2025-03-17 10:30:00+00:00,14.2
2025-03-17 11:00:00+00:00,2025-03-17 11:00:00+00:00,12.5
2025-03-17 11:30:00+00:00,2025-03-17 11:30:00+00:00,12.5
2025-03-17 12:00:00+00:00,2025-03-17 12:00:00+00:00,12.5
2025-03-17 12:30:00+00:00,2025-03-17 12:30:00+00:00,12.5
2025-03-17 13:00:00+00:00,2025-03-17 13:00:00+00:00,12.5
2025-03-17 13:30:00+00:00,2025-03-17 13:30:00+00:00,12.5
2025-03-17 14:00:00+00:00,2025-03-17 14:00:00+00:00,12.5
2025-03-17 14:30:00+00:00,2025-03-17 14:30:00+00:00,7.995
2025-03-17 15:00:00+00:00,2025-03-17 15:00:00+00:00,7.9799999999999995
2025-03-17 15:30:00+00:00,2025-03-17 15:30:00+00:00,7.85
2025-03-17 16:00:00+00:00,2025-03-17 16:00:00+00:00,7.85
2025-03-17 16:30:00+00:00,2025-03-17 16:30:00+00:00,7.9799999999999995
2025-03-17 17:00:00+00:00,2025-03-17 17:00:00+00:00,7.9799999999999995
2025-03-17 17:30:00+00:00,2025-03-17 17:30:00+00:00,7.99
2025-03-17 18:00:00+00:00,2025-03-17 18:00:00+00:00,7.9799999999999995
2025-03-17 18:30:00+00:00,2025-03-17 18:30:00+00:00,7.995
2025-03-17 19:00:00+00:00,2025-03-17 19:00:00+00:00,12.8
2025-03-17 19:30:00+00:00,2025-03-17 19:30:00+00:00,12.229744840516405
2025-03-17 20:00:00+00:00,2025-03-17 20:00:00+00:00,12.1
2025-03-17 20:30:00+00:00,2025-03-17 20:30:00+00:00,11.9
2025-03-17 21:00:00+00:00,2025-03-17 21:00:00+00:00,7.982681756502854
2025-03-17 21:30:00+00:00,2025-03-17 21:30:00+00:00,10.95
2025-03-17 22:00:00+00:00,2025-03-17 22:00:00+00:00,7.984999999999999
2025-03-17 22:30:00+00:00,2025-03-17 22:30:00+00:00,7.9799999999999995
2025-03-17 23:00:00+00:00,2025-03-17 23:00:00+00:00,10.95
2025-03-17 23:30:00+00:00,2025-03-17 23:30:00+00:00,10.95
2025-03-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,10.95
2025-03-18 00:30:00+00:00,2025-03-18 00:30:00+00:00,8.0
2025-03-18 01:00:00+00:00,2025-03-18 01:00:00+00:00,7.99
2025-03-18 01:30:00+00:00,2025-03-18 01:30:00+00:00,7.99
2025-03-18 02:00:00+00:00,2025-03-18 02:00:00+00:00,7.99
2025-03-18 02:30:00+00:00,2025-03-18 02:30:00+00:00,7.99
2025-03-18 03:00:00+00:00,2025-03-18 03:00:00+00:00,9.27
2025-03-18 03:30:00+00:00,2025-03-18 03:30:00+00:00,12.855661831664781
2025-03-18 04:00:00+00:00,2025-03-18 04:00:00+00:00,10.232
2025-03-18 04:30:00+00:00,2025-03-18 04:30:00+00:00,7.99
2025-03-18 05:00:00+00:00,2025-03-18 05:00:00+00:00,13.738
2025-03-18 05:30:00+00:00,2025-03-18 05:30:00+00:00,14.0
2025-03-18 06:00:00+00:00,2025-03-18 06:00:00+00:00,14.95
2025-03-18 06:30:00+00:00,2025-03-18 06:30:00+00:00,18.2
2025-03-18 07:00:00+00:00,2025-03-18 07:00:00+00:00,14.9
2025-03-18 07:30:00+00:00,2025-03-18 07:30:00+00:00,8.452
2025-03-18 08:00:00+00:00,2025-03-18 08:00:00+00:00,8.001999999999999
2025-03-18 08:30:00+00:00,2025-03-18 08:30:00+00:00,7.67
2025-03-18 09:00:00+00:00,2025-03-18 09:00:00+00:00,7.003144316956147
2025-03-18 09:30:00+00:00,2025-03-18 09:30:00+00:00,7.5
2025-03-18 10:00:00+00:00,2025-03-18 10:00:00+00:00,7.5
2025-03-18 10:30:00+00:00,2025-03-18 10:30:00+00:00,7.502
2025-03-18 11:00:00+00:00,2025-03-18 11:00:00+00:00,10.0
2025-03-18 11:30:00+00:00,2025-03-18 11:30:00+00:00,7.534999999999999
2025-03-18 12:00:00+00:00,2025-03-18 12:00:00+00:00,7.506006646549245
2025-03-18 12:30:00+00:00,2025-03-18 12:30:00+00:00,7.112167615603477
2025-03-18 13:00:00+00:00,2025-03-18 13:00:00+00:00,5.449
2025-03-18 13:30:00+00:00,2025-03-18 13:30:00+00:00,6.0009999999999994
2025-03-18 14:00:00+00:00,2025-03-18 14:00:00+00:00,6.004
2025-03-18 14:30:00+00:00,2025-03-18 14:30:00+00:00,6.0009999999999994
2025-03-18 15:00:00+00:00,2025-03-18 15:00:00+00:00,6.0009999999999994
2025-03-18 15:30:00+00:00,2025-03-18 15:30:00+00:00,6.001320154496032
2025-03-18 16:00:00+00:00,2025-03-18 16:00:00+00:00,6.5
2025-03-18 16:30:00+00:00,2025-03-18 16:30:00+00:00,7.555
2025-03-18 17:00:00+00:00,2025-03-18 17:00:00+00:00,7.9799999999999995
2025-03-18 17:30:00+00:00,2025-03-18 17:30:00+00:00,7.995
2025-03-18 18:00:00+00:00,2025-03-18 18:00:00+00:00,12.5
2025-03-18 18:30:00+00:00,2025-03-18 18:30:00+00:00,12.4
2025-03-18 19:00:00+00:00,2025-03-18 19:00:00+00:00,11.331999999999999
2025-03-18 19:30:00+00:00,2025-03-18 19:30:00+00:00,11.647017543859649
2025-03-18 20:00:00+00:00,2025-03-18 20:00:00+00:00,9.565999999999999
2025-03-18 20:30:00+00:00,2025-03-18 20:30:00+00:00,9.4
2025-03-18 21:00:00+00:00,2025-03-18 21:00:00+00:00,10.6
2025-03-18 21:30:00+00:00,2025-03-18 21:30:00+00:00,7.5
2025-03-18 22:00:00+00:00,2025-03-18 22:00:00+00:00,7.475
2025-03-18 22:30:00+00:00,2025-03-18 22:30:00+00:00,7.67
2025-03-18 23:00:00+00:00,2025-03-18 23:00:00+00:00,7.6209999999999996
2025-03-18 23:30:00+00:00,2025-03-18 23:30:00+00:00,7.5040000000000004
2025-03-19 00:00:00+00:00,2025-03-19 00:00:00+00:00,7.51
2025-03-19 00:30:00+00:00,2025-03-19 00:30:00+00:00,10.0
2025-03-19 01:00:00+00:00,2025-03-19 01:00:00+00:00,9.9
