creationTime,settlementDate,settlementPeriod,settlementRunType,totalExemptSupplyVolume
2026-02-09T10:00:31Z,2025-06-25,19,R3,0.3888
2026-02-09T10:00:31Z,2025-06-25,20,R3,0.3908
2026-02-09T10:00:31Z,2025-06-25,13,R3,0.2696
2026-02-09T10:00:31Z,2025-06-25,17,R3,0.3388
2026-02-09T10:00:31Z,2025-06-25,12,R3,0.2093
2026-02-09T10:00:31Z,2025-06-25,6,R3,0.1024
2026-02-09T10:00:31Z,2025-06-25,10,R3,0.1276
2026-02-09T10:00:31Z,2025-06-25,9,R3,0.1382
2026-02-09T10:00:31Z,2025-06-25,8,R3,0.1204
2026-02-09T10:00:31Z,2025-06-25,7,R3,0.1009
2026-02-09T10:00:31Z,2025-06-25,5,R3,0.1133
2026-02-09T10:00:31Z,2025-06-25,4,R3,0.0862
2026-02-09T10:00:31Z,2025-06-25,3,R3,0.0705
2026-02-09T10:00:31Z,2025-06-25,2,R3,0.0737
2026-02-09T10:00:31Z,2025-06-25,1,R3,0.0733
2026-02-09T10:00:31Z,2025-06-25,22,R3,0.4031
2026-02-09T10:00:31Z,2025-06-25,11,R3,0.1491
2026-02-09T10:00:31Z,2025-06-25,23,R3,0.4071
2026-02-09T10:00:31Z,2025-06-25,24,R3,0.3975
2026-02-09T10:00:31Z,2025-06-25,25,R3,0.3983
2026-02-09T10:00:31Z,2025-06-25,47,R3,0.0748
2026-02-09T10:00:31Z,2025-06-25,46,R3,0.0749
2026-02-09T10:00:31Z,2025-06-25,45,R3,0.0749
2026-02-09T10:00:31Z,2025-06-25,44,R3,0.0732
2026-02-09T10:00:31Z,2025-06-25,43,R3,0.087
2026-02-09T10:00:31Z,2025-06-25,42,R3,0.0913
2026-02-09T10:00:31Z,2025-06-25,41,R3,0.0904
2026-02-09T10:00:31Z,2025-06-25,40,R3,0.0876
2026-02-09T10:00:31Z,2025-06-25,39,R3,0.0944
2026-02-09T10:00:31Z,2025-06-25,38,R3,0.0999
2026-02-09T10:00:31Z,2025-06-25,37,R3,0.1115
2026-02-09T10:00:31Z,2025-06-25,48,R3,0.0762
2026-02-09T10:00:31Z,2025-06-25,35,R3,0.173
2026-02-09T10:00:31Z,2025-06-25,34,R3,0.2514
2026-02-09T10:00:31Z,2025-06-25,33,R3,0.3049
2026-02-09T10:00:31Z,2025-06-25,32,R3,0.3192
2026-02-09T10:00:31Z,2025-06-25,31,R3,0.3235
2026-02-09T10:00:31Z,2025-06-25,30,R3,0.352
2026-02-09T10:00:31Z,2025-06-25,29,R3,0.3795
2026-02-09T10:00:31Z,2025-06-25,28,R3,0.3819
2026-02-09T10:00:31Z,2025-06-25,27,R3,0.3912
2026-02-09T10:00:31Z,2025-06-25,26,R3,0.393
2026-02-09T10:00:31Z,2025-06-25,36,R3,0.1458
2026-02-09T10:00:31Z,2025-06-26,14,R3,0.2657
2026-02-09T10:00:31Z,2025-06-26,15,R3,0.2933
2026-02-09T10:00:31Z,2025-06-26,16,R3,0.3092
2026-02-09T10:00:31Z,2025-06-26,21,R3,0.3767
2026-02-09T10:00:31Z,2025-06-26,18,R3,0.3562
2026-02-09T10:00:31Z,2025-06-26,19,R3,0.3682
2026-02-09T10:00:31Z,2025-06-26,20,R3,0.3648
2026-02-09T10:00:31Z,2025-06-26,13,R3,0.255
2026-02-09T10:00:31Z,2025-06-26,17,R3,0.3244
2026-02-09T10:00:31Z,2025-06-26,12,R3,0.2226
2026-02-09T10:00:31Z,2025-06-26,6,R3,0.1011
2026-02-09T10:00:31Z,2025-06-26,10,R3,0.146
2026-02-09T10:00:31Z,2025-06-26,9,R3,0.1312
2026-02-09T10:00:31Z,2025-06-26,8,R3,0.1233
2026-02-09T10:00:31Z,2025-06-26,7,R3,0.1211
2026-02-09T10:00:31Z,2025-06-26,5,R3,0.1083
2026-02-09T10:00:31Z,2025-06-26,4,R3,0.0901
2026-02-09T10:00:31Z,2025-06-26,3,R3,0.0728
2026-02-09T10:00:31Z,2025-06-26,2,R3,0.0706
2026-02-09T10:00:31Z,2025-06-26,1,R3,0.0697
2026-02-09T10:00:31Z,2025-06-26,22,R3,0.3834
2026-02-09T10:00:31Z,2025-06-26,11,R3,0.1688
2026-02-09T10:00:31Z,2025-06-26,23,R3,0.3867
2026-02-09T10:00:31Z,2025-06-26,24,R3,0.3602
2026-02-09T10:00:31Z,2025-06-26,25,R3,0.3483
2026-02-09T10:00:31Z,2025-06-26,47,R3,0.0732
2026-02-09T10:00:31Z,2025-06-26,46,R3,0.0714
2026-02-09T10:00:31Z,2025-06-26,45,R3,0.0712
2026-02-09T10:00:31Z,2025-06-26,44,R3,0.0745
2026-02-09T10:00:31Z,2025-06-26,43,R3,0.0781
2026-02-09T10:00:31Z,2025-06-26,42,R3,0.0788
2026-02-09T10:00:31Z,2025-06-26,41,R3,0.0831
2026-02-09T10:00:31Z,2025-06-26,40,R3,0.0849
2026-02-09T10:00:31Z,2025-06-26,39,R3,0.0838
2026-02-09T10:00:31Z,2025-06-26,38,R3,0.0965
2026-02-09T10:00:31Z,2025-06-26,37,R3,0.1066
2026-02-09T10:00:31Z,2025-06-26,48,R3,0.0742
2026-02-09T10:00:31Z,2025-06-26,35,R3,0.1664
2026-02-09T10:00:31Z,2025-06-26,34,R3,0.2583
2026-02-09T10:00:31Z,2025-06-26,33,R3,0.3019
2026-02-09T10:00:31Z,2025-06-26,32,R3,0.3318
2026-02-09T10:00:31Z,2025-06-26,31,R3,0.335
